Date,Close
2024-01-01,150
2024-01-02,152
2024-01-03,151
2024-01-04,153
2024-01-05,154
2024-01-06,156
2024-01-07,155
2024-01-08,157
2024-01-09,158
2024-01-10,160
2024-01-11,159
2024-01-12,161
2024-01-13,162
2024-01-14,164
2024-01-15,163
2024-01-16,165
2024-01-17,166
2024-01-18,168
2024-01-19,167
2024-01-20,169
2024-01-21,170
2024-01-22,172
2024-01-23,171
2024-01-24,173
2024-01-25,174
2024-01-26,176
2024-01-27,175
2024-01-28,177
2024-01-29,178
2024-01-30,180
2024-01-31,181
2024-02-01,183
2024-02-02,182
2024-02-03,184
2024-02-04,185
2024-02-05,187
2024-02-06,186
2024-02-07,188
2024-02-08,189
2024-02-09,191
2024-02-10,190
2024-02-11,192
2024-02-12,193
2024-02-13,195
2024-02-14,194
2024-02-15,196
2024-02-16,197
2024-02-17,199
2024-02-18,198
2024-02-19,200
2024-02-20,201
2024-02-21,203
2024-02-22,202
2024-02-23,204
2024-02-24,205
2024-02-25,207
2024-02-26,206
2024-02-27,208
2024-02-28,209
2024-02-29,211
2024-03-01,210
2024-03-02,212
2024-03-03,213
2024-03-04,215
2024-03-05,214
2024-03-06,216
2024-03-07,217
2024-03-08,219
2024-03-09,218
2024-03-10,220
